+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Função de otimização: 
Taxa de Cromossomo: 0.25
Taxa de Mutação: 0.5
Quantidade de Gerações: 100
Tamanho da População: 150
Tamanho do Cromossomo: 10
Taxa de elitismo: 1
+---------------------------------------------+
Geração, Fitness Total, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,-8507.8,-56.718666,-49.79808,-69.66591
1.0,-8556.39,-57.0426,-49.75711,-69.66591
2.0,-8576.636,-57.17757,-49.75711,-69.66591
3.0,-8600.367,-57.33578,-49.75711,-69.66591
4.0,-8631.368,-57.542454,-49.75711,-69.66591
5.0,-8661.564,-57.743763,-49.75711,-69.66591
6.0,-8694.92,-57.966133,-49.75711,-69.66591
7.0,-8723.688,-58.157925,-49.75711,-69.66591
8.0,-8746.234,-58.308228,-49.75711,-69.66591
9.0,-8766.016,-58.440105,-49.75711,-69.66591
10.0,-8806.223,-58.708153,-49.75711,-70.66443
11.0,-8838.213,-58.92142,-49.75711,-70.66443
12.0,-8879.08,-59.193867,-49.75711,-70.66443
13.0,-8900.011,-59.333405,-49.75711,-70.66443
14.0,-8931.027,-59.540184,-49.75711,-70.66443
15.0,-8953.759,-59.691727,-49.75711,-70.66443
16.0,-8989.271,-59.92848,-49.75711,-70.66443
17.0,-9007.302,-60.04868,-49.75711,-70.66443
18.0,-9022.104,-60.147358,-49.75711,-70.66443
19.0,-9053.086,-60.353905,-49.75711,-70.66443
20.0,-9057.693,-60.38462,-49.75711,-70.66443
21.0,-9080.661,-60.537743,-49.75711,-70.66443
22.0,-9089.387,-60.595913,-49.75711,-70.66443
23.0,-9115.856,-60.772377,-49.75711,-70.66443
24.0,-9140.626,-60.937508,-49.75711,-70.66443
25.0,-9162.797,-61.08531,-49.75711,-70.66443
26.0,-9176.253,-61.17502,-49.75711,-70.66443
27.0,-9202.784,-61.351894,-49.75711,-70.66443
28.0,-9222.56,-61.48373,-49.75711,-70.66443
29.0,-9239.271,-61.595142,-49.75711,-70.66443
30.0,-9259.46,-61.729733,-49.75711,-70.66443
31.0,-9281.77,-61.878464,-49.75711,-70.66443
32.0,-9289.94,-61.932938,-49.75711,-70.66443
33.0,-9312.229,-62.081524,-49.75711,-70.66443
34.0,-9337.708,-62.25139,-49.75711,-70.66443
35.0,-9357.077,-62.380516,-49.75711,-70.66443
36.0,-9377.27,-62.51513,-49.75711,-70.66443
37.0,-9410.952,-62.73968,-49.75711,-70.66443
38.0,-9424.386,-62.82924,-49.75711,-70.66443
39.0,-9441.845,-62.945633,-49.75711,-70.66443
40.0,-9449.816,-62.998775,-49.75711,-70.66443
41.0,-9472.445,-63.149635,-49.75711,-70.66443
42.0,-9475.514,-63.17009,-49.75711,-70.66443
43.0,-9484.589,-63.23059,-49.75711,-70.66443
44.0,-9493.275,-63.2885,-49.75711,-70.66443
45.0,-9500.64,-63.337597,-49.75711,-70.66443
46.0,-9524.427,-63.496178,-49.75711,-70.66443
47.0,-9545.312,-63.63541,-49.75711,-70.66443
48.0,-9566.115,-63.7741,-49.75711,-70.66443
49.0,-9599.858,-63.999058,-49.75711,-70.66443
50.0,-9615.483,-64.103226,-49.75711,-70.66443
51.0,-9626.344,-64.17563,-49.75711,-70.66443
52.0,-9642.0205,-64.280136,-49.75711,-70.66443
53.0,-9648.859,-64.32573,-49.75711,-70.66443
54.0,-9661.669,-64.411125,-49.75711,-70.66443
55.0,-9678.815,-64.52544,-49.75711,-70.66443
56.0,-9690.267,-64.601776,-49.75711,-70.66443
57.0,-9698.233,-64.65489,-49.75711,-70.66443
58.0,-9716.249,-64.774994,-49.75711,-70.66443
59.0,-9738.418,-64.92278,-49.75711,-70.66443
60.0,-9744.864,-64.96576,-49.75711,-70.66443
61.0,-9749.235,-64.9949,-49.75711,-70.66443
62.0,-9769.388,-65.12925,-49.75711,-70.66443
63.0,-9793.501,-65.29001,-49.75711,-70.66443
64.0,-9799.895,-65.332634,-49.75711,-70.66443
65.0,-9803.436,-65.35624,-49.75711,-70.66443
66.0,-9815.024,-65.433495,-49.75711,-70.66443
67.0,-9828.926,-65.52617,-49.75711,-70.66443
68.0,-9844.575,-65.6305,-49.75711,-70.66443
69.0,-9856.751,-65.71167,-49.75711,-70.66443
70.0,-9856.75,-65.71167,-49.75711,-70.66443
71.0,-9856.751,-65.71167,-49.75711,-70.66443
72.0,-9862.775,-65.75184,-49.75711,-70.66443
