+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Função de otimização: Rastrigin
Taxa de Cromossomo: 0.05
Taxa de Mutação: 0.5
Quantidade de Gerações: 100
Tamanho da População: 100
Tamanho do Cromossomo: 8
Taxa de elitismo: 0
+---------------------------------------------+
Geração, Fitness Total, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,-6601.765,-66.017654,-50.32313,-79.483536
1.0,-6747.6294,-67.476295,-49.822823,-79.483536
2.0,-6794.932,-67.94932,-49.822823,-80.302315
3.0,-6828.2427,-68.282425,-49.822823,-80.302315
4.0,-6864.788,-68.64788,-49.822823,-80.302315
5.0,-6867.7183,-68.677185,-49.822823,-80.302315
6.0,-6899.893,-68.99893,-49.822823,-80.09991
7.0,-6925.289,-69.25289,-49.822823,-80.09991
8.0,-6938.402,-69.38402,-49.822823,-80.09991
9.0,-7017.2217,-70.17222,-49.822823,-80.4882
10.0,-7030.4424,-70.30442,-49.822823,-80.28579
11.0,-7057.9756,-70.57976,-49.822823,-80.28579
12.0,-7091.047,-70.91047,-49.822823,-80.28579
13.0,-7114.5146,-71.14515,-49.822823,-80.28579
14.0,-7146.316,-71.46316,-49.822823,-80.09991
15.0,-7165.1367,-71.65137,-49.822823,-80.09991
16.0,-7175.2866,-71.75287,-49.822823,-80.4882
17.0,-7226.9443,-72.26944,-49.822823,-80.4882
18.0,-7269.1367,-72.69137,-49.822823,-80.28579
19.0,-7304.8013,-73.04801,-49.822823,-80.09991
20.0,-7327.834,-73.27834,-49.822823,-80.28579
21.0,-7330.3545,-73.30354,-49.822823,-80.28579
22.0,-7331.171,-73.31171,-49.822823,-80.302315
23.0,-7347.25,-73.4725,-49.822823,-80.302315
24.0,-7363.016,-73.63016,-49.822823,-80.302315
25.0,-7400.6245,-74.00625,-49.822823,-80.28579
26.0,-7401.1167,-74.01117,-49.822823,-80.28579
27.0,-7428.656,-74.28656,-49.822823,-80.28579
28.0,-7429.3306,-74.293304,-49.822823,-80.28579
29.0,-7439.8677,-74.398674,-49.822823,-80.28579
30.0,-7437.809,-74.37809,-49.822823,-80.28579
31.0,-7439.734,-74.39734,-49.822823,-80.28579
32.0,-7444.8237,-74.448235,-49.822823,-80.28579
33.0,-7456.156,-74.561554,-49.822823,-80.09991
34.0,-7450.93,-74.5093,-49.822823,-80.302315
35.0,-7443.899,-74.43899,-49.822823,-80.302315
