+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Função de otimização: 
Taxa de Cromossomo: 0.25
Taxa de Mutação: 0.5
Quantidade de Gerações: 100
Tamanho da População: 150
Tamanho do Cromossomo: 10
Taxa de elitismo: 1
+---------------------------------------------+
Geração, Fitness Total, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,-8566.691,-57.111275,-49.753757,-70.66443
1.0,-8608.126,-57.38751,-49.753757,-70.66443
2.0,-8620.154,-57.467697,-49.753757,-70.66443
3.0,-8632.292,-57.548615,-49.753757,-70.66443
4.0,-8648.493,-57.65662,-49.753757,-70.66443
5.0,-8680.42,-57.869465,-49.753757,-70.66443
6.0,-8699.757,-57.99838,-49.753757,-70.66443
7.0,-8740.608,-58.27072,-49.753757,-70.66443
8.0,-8750.128,-58.334187,-49.753757,-70.66443
9.0,-8776.446,-58.509644,-49.753757,-70.66443
10.0,-8804.199,-58.69466,-49.753757,-70.66443
11.0,-8830.908,-58.872723,-49.753757,-70.66443
12.0,-8856.88,-59.045864,-49.753757,-70.66443
13.0,-8861.861,-59.079075,-49.753757,-70.66443
14.0,-8878.436,-59.18957,-49.753757,-70.66443
15.0,-8924.446,-59.496307,-49.753757,-70.66443
16.0,-8934.623,-59.56415,-49.753757,-70.66443
17.0,-8971.335,-59.8089,-49.753757,-70.66443
18.0,-8977.486,-59.84991,-49.753757,-70.66443
19.0,-8990.506,-59.936707,-49.753757,-70.66443
20.0,-9020.763,-60.138416,-49.753757,-70.66443
21.0,-9051.259,-60.341724,-49.753757,-70.66443
22.0,-9066.274,-60.44183,-49.753757,-70.66443
23.0,-9097.655,-60.651035,-49.753757,-70.66443
24.0,-9119.4375,-60.79625,-49.753757,-70.66443
25.0,-9132.098,-60.88065,-49.753757,-70.66443
26.0,-9146.218,-60.974785,-49.753757,-70.66443
27.0,-9167.543,-61.116955,-49.753757,-70.66443
28.0,-9186.247,-61.241646,-49.753757,-70.66443
29.0,-9195.378,-61.30252,-49.753757,-70.66443
30.0,-9210.838,-61.405586,-49.753757,-70.66443
31.0,-9232.181,-61.54787,-49.753757,-70.66443
32.0,-9250.115,-61.667435,-49.753757,-70.66443
33.0,-9259.6045,-61.730698,-49.753757,-70.66443
34.0,-9263.258,-61.75505,-49.753757,-70.66443
35.0,-9298.802,-61.992012,-49.753757,-70.66443
36.0,-9320.582,-62.137215,-49.753757,-70.66443
37.0,-9338.746,-62.25831,-49.753757,-70.66443
38.0,-9372.622,-62.484146,-49.753757,-70.66443
